title,price,rating,reviews,availability
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.4 out of 5 stars,421 ratings,Not Available
PlayStationÂ®5 Digital Edition (slim),,4.5 out of 5 stars,"10,685 ratings",Not Available
PS4 Slim 500GB Console + Controller,,4.4 out of 5 stars,"1,953 ratings",Not Available
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.5 out of 5 stars,"2,832 ratings",Only 1 left in stock - order soon.
PlayStation 4 Pro 1TB Limited Edition Console - Marvel's Spider-Man Bundle [Discontinued],,4.1 out of 5 stars,675 ratings,Only 2 left in stock - order soon.
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.4 out of 5 stars,"123,026 ratings",Not Available
PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,,4.6 out of 5 stars,"6,557 ratings",Only 1 left in stock - order soon.
"Sony Playstation Classic Console with 20 Playstation Games Pre-Installed Holiday Bundle, Includes Final Fantasy VII, Grand Theft Auto, Resident Evil Director's Cut and More",,4.1 out of 5 stars,"2,191 ratings",Only 11 left in stock - order soon.
500GB PlayStation 4 Console - Limited Edition Star WarsBattlefront Bundle,,4.4 out of 5 stars,607 ratings,Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Limited Edition Console - Days of Play Bundle [Discontinued],,4.6 out of 5 stars,819 ratings,Only 2 left in stock - order soon.
PlayStation 4 500GB Console - Uncharted 4 Limited Edition Bundle [Discontinued],,4.4 out of 5 stars,722 ratings,Only 1 left in stock - order soon.
Sony PS4 500GB Console The Last of Us Remastered,,4.4 out of 5 stars,465 ratings,Only 2 left in stock - order soon.
"AceGamer 2 Pack for PS4 Controller, Wireless Controller for PS4/Pro/Slim/PC, with Non-Slip Grip of Both Sides and USB-C Cable! (Black and White)",,4.3 out of 5 stars,"5,899 ratings",Not Available
Sony PlayStation 4 (PS4) Console Bundle with Call of Duty Black Ops III - Hard Drive Capacity: 500 GB,,4.7 out of 5 stars,24 ratings,Only 1 left in stock - order soon.
500GB PlayStation 4 Batman Arkham Knight Bundle Limited Edition,,4.3 out of 5 stars,443 ratings,Only 1 left in stock - order soon.
Sony PlayStation 3 Slim 320 GB Charcoal Black Console,,4.1 out of 5 stars,"1,403 ratings",Only 2 left in stock - order soon.
